"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:59:14,FALSE,NA,"936384156480823297",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SansaJordi",637,TRUE,FALSE,NA,NA
"2","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:58:58,FALSE,NA,"936384087249641473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","escatxic1",637,TRUE,FALSE,NA,NA
"3","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:57:29,FALSE,NA,"936383713759432704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ergoal",637,TRUE,FALSE,NA,NA
"4","RT @jurgenvontopfer: Heard rumours that yellow is being banned in #Catalonia
Is this new nonsense true? #indyref 
Are we banning blue in #S…",FALSE,0,NA,2017-11-30 23:57:07,FALSE,NA,"936383621031694336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jbuehler777",31,TRUE,FALSE,NA,NA
"5","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:56:33,FALSE,NA,"936383479889133570",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","miquibricu",637,TRUE,FALSE,NA,NA
"6","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:56:32,FALSE,NA,"936383478064713728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nuria1966",637,TRUE,FALSE,NA,NA
"7","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:55:32,FALSE,NA,"936383223038398464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ErreVeJota",637,TRUE,FALSE,NA,NA
"8","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:55:24,FALSE,NA,"936383190947782656",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","FrancJfarmo",637,TRUE,FALSE,NA,NA
"9","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:53:49,FALSE,NA,"936382793176768512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rvidalpaulus",637,TRUE,FALSE,NA,NA
"10","RT @ABalagu: #Catalonia Electoral Commission has banned the yellow colour during electoral period. #FreedomPoliticalPrisoners <ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097><ed><U+00A0><U+00BC><ed><U+00BE><U+0097> @U…",FALSE,0,NA,2017-11-30 23:53:02,FALSE,NA,"936382594966544384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GeneralMoragues",37,TRUE,FALSE,NA,NA
"11","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:52:45,FALSE,NA,"936382525777371141",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HelleKettner",637,TRUE,FALSE,NA,NA
"12","RT @ramontremosa: Radios in #Catalan language: audience reaches record high ever, clearly leading marketshare in #Catalonia

Congratulation…",FALSE,0,NA,2017-11-30 23:52:09,FALSE,NA,"936382373498941440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SofiaS_free",92,TRUE,FALSE,NA,NA
"13","RT @denterd: Spain’s takeover of #Catalonia casts uncertainty on exhumation of mass graves from the civil war and Franco's dictatorship htt…",FALSE,0,NA,2017-11-30 23:50:52,FALSE,NA,"936382050399080449",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","338e039f14ec4ba",57,TRUE,FALSE,NA,NA
"14","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:49:53,FALSE,NA,"936381800548618240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_EsterLitzia_",637,TRUE,FALSE,NA,NA
"15","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 23:48:50,FALSE,NA,"936381539671269376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BascuPere",637,TRUE,FALSE,NA,NA
